Solution Name,Solution ID,Views,Date Created,Date Modified,3 years,4 years,5+ years,,Total 3,Total 4,Total 5+
How To Access & Submit Your Covid-19 Vaccination Form?,10000060270,1235,Apr-21,Jan-22,X,,,,124,200,268
How to Check for Compliance of Device in Intune,10000078672,617,Mar-23,Mar-23,,,,,,,
Procuring the Monthly O365 Licensing,10000081426,617,Aug-23,Aug-23,,,,,,,
How Do I Request A New Device?,10000015254,587,Aug-18,Sep-21,,,X,,,,
How To Add an Email Signature Instructions for PC,10000014777,459,Aug-18,Nov-23,,,X,,,,
View The Information You Submitted In Your Covid-19 Vaccination Form,10000060271,392,Apr-21,Jun-21,X,,,,,,
Adjusting 401k Throughout the Year,10000043583,278,Dec-19,Dec-19,,,X,,,,
Notification Center Explained,10000058108,253,Feb-21,Feb-21,,X,,,,,
How to Add the COVID-19 Screener to Your Home Screen,10000050922,233,Jun-20,Jun-20,,X,,,,,
What is the AT&T Discount for Being an Employee?,10000014688,190,Aug-18,Dec-22,,,X,,,,
Outlook - Accessing Outlook on the Web,10000019352,166,Oct-18,Nov-20,,,X,,,,
What is the Verizon Discount for Being an Employee?,10000014691,143,Aug-18,May-22,,,X,,,,
Pacific: Adding Printers,10000045092,142,Jan-20,Sep-23,,,X,,,,
Selecting Benefits,10000010368,113,Jul-18,Aug-18,,,X,,,,
Job Number Request - ADB,10000051619,100,Jun-20,Jul-20,,X,,,,,
Vacation & Absence Page Options,10000009982,98,Jul-18,Jul-19,,,X,,,,
How to Distribute Salesforce Surveys,10000047929,87,Mar-20,Apr-20,,X,,,,,
401K,10000010375,87,Jul-18,Aug-18,,,X,,,,
MFA: How to Set-Up Multi Factor Authentication,10000057373,86,Jan-21,Mar-21,,X,,,,,
Password Screen:  LKC New Hire Portal,10000054763,86,Oct-20,Feb-21,,X,,,,,
Creating A New Action Plan,10000050734,84,May-20,Nov-22,,X,,,,,
How do I VPN?,10000032706,83,Apr-19,Jul-23,,,X,,,,
i404 Viewing All Active Action Plans,10000078636,80,Mar-23,Apr-23,,,,,,,
Troubleshooting for Team Members Unable to View Payslips in Sage People,10000044579,76,Jan-20,Jan-20,,,X,,,,
How do I change my password outside of the network?,10000032490,64,Apr-19,Apr-19,,,X,,,,
Password Screen:  LKC New Hire Portal,10000054740,58,Oct-20,Feb-21,,X,,,,,
MS Teams - External Use,10000050656,58,May-20,May-20,,X,,,,,
Enrolling a Mobile Device Into Intune/Company Portal,10000082791,54,Sep-23,Feb-24,,,,,,,
New Hire Benefit Processes,10000042984,53,Nov-19,Nov-19,,,X,,,,
Adding - Removing Dependents to Benefits,10000029139,51,Feb-19,Feb-19,,,X,,,,
Accessing Safety one Stop website,10000054504,48,Oct-20,Feb-21,,X,,,,,
Requesting Vacation (Keeley & Mercury Only),10000009994,47,Jul-18,Jul-19,,,X,,,,
YODECK HARDWARE AND SOFTWARE INSTALLATION,10000091788,46,Jun-24,Jun-24,,,,,,,
What is Phishing?,10000040946,46,Oct-19,Jan-20,,,X,,,,
Salary Change Only,10000010001,46,Jul-18,Jul-19,,,X,,,,
How do I log into my iPhone / iPad?,10000046461,46,Feb-20,Jun-20,,,X,,,,
Request A New Open Position as a Manager,10000010487,42,Jul-18,Jan-20,,,X,,,,
What is the IT Help Desk Contact?,10000014779,42,Aug-18,Dec-21,,,X,,,,
Bonus Only,10000010002,42,Jul-18,Aug-18,,,X,,,,
MFA: Set-Up Microsoft Authenticator App,10000057374,41,Jan-21,Jan-21,,X,,,,,
Organization Chart,10000009972,41,Jul-18,Aug-18,,,X,,,,
i404 Add-in Step By Step Outlook Web Installation,10000070334,39,Apr-22,Apr-22,,,,,,,
Requesting PTO ( ADB/Zero-Day Only),10000009992,39,Jul-18,Aug-18,,,X,,,,
Employee Information,10000009924,39,Jul-18,Aug-18,,,X,,,,
Salesforce CRM- Adding/Copying Campaign Members to a Campaign,10000089540,38,Mar-24,Jul-24,,,,,,,
Team Member Screen:  LKC New Hire Portal,10000054742,37,Oct-20,Jun-21,,X,,,,,
How Do I request A Program To Be Installed?,10000015255,37,Aug-18,Aug-21,,,X,,,,
How to Sign Into P6 on The Remote Desktop,10000030101,36,Mar-19,Dec-24,,,X,,,,
Welcome Email,10000009922,36,Jul-18,Oct-19,,,X,,,,
Single Sign-On Error,10000011344,36,Jul-18,Aug-18,,,X,,,,
i404 Enhanced Search Feature for Key Words,10000078637,34,Mar-23,Mar-23,,,,,,,
Termination,10000010011,34,Jul-18,Aug-18,,,X,,,,
Recognition How-To,10000037436,33,Aug-19,May-20,,,X,,,,
Assess Resumes for Hiring Manager,10000010497,33,Jul-18,Aug-18,,,X,,,,
Outlook - How do I set up Groups / Distribution Lists?,10000021468,32,Nov-18,Aug-19,,,X,,,,
Sage People Human Capital Management / Salesforce Login Redirect,10000011352,32,Jul-18,Jan-20,,,X,,,,
i404 Compliance Dashboard Clickable Numbers,10000078666,31,Mar-23,Mar-23,,,,,,,
Desk Phone Training,10000051306,30,Jun-20,Jun-20,,X,,,,,
"MFA: How to ""Remember Me"" on Your Device",10000057372,30,Jan-21,Jan-21,,X,,,,,
How to Connect to Guest Wifi,10000019642,30,Oct-18,Feb-22,,,X,,,,
Voluntary Life and AD&D for Employee,10000010374,30,Jul-18,Aug-18,,,X,,,,
"MFA: How to ""Remember Me"" on Your Device",10000057372,30,Jan-21,Jan-21,,X,,,,,
Teams - How do I set up a Microsoft Teams conference?,10000033604,29,May-19,Sep-19,,,X,,,,
Accessing a form on Safety One Stop website,10000054505,29,Oct-20,Feb-21,,X,,,,,
Payslips/Payflow - Granting Permissions To Administer,10000071212,29,Jun-22,Jun-22,,,,,,,
Completing Sage People Alerts Manually,10000029117,28,Feb-19,Jun-19,,,X,,,,
Skype - How do I Use Skype Conferencing?,10000021460,28,Nov-18,Aug-19,,,X,,,,
Updating Folder Permissions in Sharepoint,10000017137,28,Sep-18,Sep-18,,,X,,,,
Long Term Disability,10000010371,28,Jul-18,Aug-18,,,X,,,,
VTO Qualifer - Absence Award,10000029658,27,Mar-19,Mar-19,,,X,,,,
Requesting Volunteer PTO,10000009987,27,Jul-18,Aug-18,,,X,,,,
W-4 State Selection Screen:  LKC New Hire Portal,10000054769,27,Oct-20,Jun-21,,X,,,,,
Sage People: Payflow To EverythingBenefits Troubleshooting,10000082044,27,Aug-23,Aug-23,,,,,,,
Getting Started,10000037683,26,Aug-19,Aug-19,,,X,,,,
SharePoint Basics,10000038708,26,Aug-19,Aug-19,,,X,,,,
"401K ""%"" Error (Benefits)",10000011702,26,Aug-18,Aug-18,,,X,,,,
How do I get local admin rights?,10000041492,26,Oct-19,Oct-19,,,X,,,,
i404 New,10000069666,26,Mar-22,Apr-22,,,,,,,
Adding Quick Links To A SharePoint Site,10000031090,25,Mar-19,Mar-19,,,X,,,,
View the Vaccination Card a Team Member Submitted,10000060304,25,Apr-21,Jan-22,X,,,,,,
How to Add COVID-19 Screener to Your Android Home Screen,10000050966,25,Jun-20,Jun-20,,X,,,,,
Verifying that Users have been added to right user group.,10000078674,24,Mar-23,Mar-23,,,,,,,
Event Report - Everything You Need To Know,10000059622,24,Mar-21,Mar-21,X,,,,,,
Pin Sharepoint Library to File Explorer,10000017723,24,Sep-18,Sep-18,,,X,,,,
Keeley Construction FSL - How to Download the FSL App,10000060320,24,Apr-21,Mar-23,X,,,,,,
Outlook - How to Add Another Email Address to the From Dropdown Menu?,10000030824,24,Mar-19,Sep-19,,,X,,,,
Electing Default 401k/SIMPLE thru Benefit Admin,10000042998,23,Nov-19,Nov-19,,,X,,,,
Document Check Screen:  LKC New Hire Portal,10000054741,23,Oct-20,Oct-20,,X,,,,,
i404 Installing the Outlook Add-in,10000070340,23,Apr-22,Apr-22,,,,,,,
Payroll and HR Timberline,10000059062,22,Feb-21,Apr-21,,X,,,,,
OneDrive - Is my OneDrive syncing?,10000022911,22,Nov-18,Aug-19,,,X,,,,
Education Information,10000009969,22,Jul-18,Aug-18,,,X,,,,
Payroll and HR Timberline,10000059062,22,Feb-21,Apr-21,,X,,,,,
Remaping printer with zscaler on,10000080715,21,Jun-23,Jun-23,,,,,,,
FAQ: Keeley Companies Move to New Salesforce Website on 9/27/2021,10000064303,21,Sep-21,Sep-21,X,,,,,,
Merge PDFs,10000037687,21,Aug-19,Aug-19,,,X,,,,
How to Add Apps to an iPad,10000049233,21,Apr-20,Aug-20,,X,,,,,
How to Add the Office Connector Add-in for Excel?,10000015997,21,Sep-18,Jul-22,,,X,,,,
Accessing KeeleyConnections Website,10000054013,21,Sep-20,Sep-20,,X,,,,,
Send Forms,10000040330,21,Oct-19,Oct-19,,,X,,,,
